order_id,distance_km,delivery_time_min,traffic_level,route_length_km,delivery_mode,weather,order_time,restaurant_zone,customer_zone,Date,Time,Hour,Minute,Zone Relationship
41,9.72,44.8,Medium,10.21,Bicycle,Cloudy,04/01/2025 08:55,South,Central,04/01/2025,08:55:00,8,55,Cross Zone
42,7.62,59.5,Medium,10.27,Scooter,Cloudy,04/01/2025 10:59,West,North,04/01/2025,10:59:00,10,59,Cross Zone
43,2.16,10,High,2.26,Scooter,Rainy,04/01/2025 12:47,East,East,04/01/2025,12:47:00,12,47,Same Zone
103,9.17,60.4,Low,10.91,Bicycle,Cloudy,04/01/2025 12:47,North,South,04/01/2025,12:47:00,12,47,Cross Zone
44,10.77,87.3,High,13.53,Car,Windy,04/01/2025 09:38,West,East,04/01/2025,09:38:00,9,38,Cross Zone
45,5.26,39.3,Medium,6.47,Bike,Windy,02/01/2025 04:57,North,West,02/01/2025,04:57:00,4,57,Cross Zone
46,4.24,30,High,4.33,Car,Rainy,03/01/2025 03:35,South,North,03/01/2025,03:35:00,3,35,Cross Zone
47,9.56,60.9,Low,12.64,Scooter,Rainy,03/01/2025 10:49,Central,Central,03/01/2025,10:49:00,10,49,Same Zone
48,2.44,15.1,High,2.92,Bicycle,Windy,03/01/2025 15:05,South,Central,03/01/2025,15:05:00,15,5,Cross Zone
49,4.4,23.9,High,4.82,Scooter,Cloudy,02/01/2025 03:19,Central,Central,02/01/2025,03:19:00,3,19,Same Zone
50,3.21,20.1,Low,4.57,Bike,Rainy,02/01/2025 20:04,East,East,02/01/2025,20:04:00,20,4,Same Zone
51,10.24,65.1,High,12.4,Bike,Clear,03/01/2025 07:10,East,North,03/01/2025,07:10:00,7,10,Cross Zone
52,2.63,19.7,Low,2.98,Scooter,Cloudy,03/01/2025 11:05,Central,South,03/01/2025,11:05:00,11,5,Cross Zone
53,11.55,78.1,Low,14.7,Bike,Rainy,02/01/2025 08:12,East,East,02/01/2025,08:12:00,8,12,Same Zone
54,1.36,11.7,Low,1.82,Bike,Rainy,04/01/2025 17:09,North,West,04/01/2025,17:09:00,17,9,Cross Zone
55,1.74,12.5,Low,2.59,Scooter,Rainy,04/01/2025 15:37,Central,South,04/01/2025,15:37:00,15,37,Cross Zone
56,1.12,7.3,Low,1.44,Car,Rainy,02/01/2025 18:14,North,West,02/01/2025,18:14:00,18,14,Cross Zone
57,8.89,61.8,Medium,8.98,Bike,Windy,04/01/2025 03:49,Central,South,04/01/2025,03:49:00,3,49,Cross Zone
58,9.08,58.1,High,13.32,Car,Cloudy,02/01/2025 09:49,Central,South,02/01/2025,09:49:00,9,49,Cross Zone
59,11.61,71.6,Low,12.17,Scooter,Cloudy,01/01/2025 14:54,West,Central,01/01/2025,14:54:00,14,54,Cross Zone
60,1.62,8.3,Medium,2.06,Bike,Windy,02/01/2025 16:20,West,North,02/01/2025,16:20:00,16,20,Cross Zone
61,10.63,68.9,Low,13.85,Bicycle,Cloudy,01/01/2025 16:17,Central,Central,01/01/2025,16:17:00,16,17,Same Zone
62,10.54,80,High,12.64,Bicycle,Windy,03/01/2025 06:48,North,South,03/01/2025,06:48:00,6,48,Cross Zone
63,9.33,74.8,Medium,11.26,Scooter,Clear,02/01/2025 22:25,East,East,02/01/2025,22:25:00,22,25,Same Zone
64,5.41,28.6,Low,5.43,Bicycle,Rainy,02/01/2025 06:31,North,North,02/01/2025,06:31:00,6,31,Same Zone
65,10.78,97.1,Low,14.1,Car,Windy,03/01/2025 16:54,West,North,03/01/2025,16:54:00,16,54,Cross Zone
66,9.05,76.9,Medium,11.45,Bicycle,Cloudy,03/01/2025 01:43,East,East,03/01/2025,01:43:00,1,43,Same Zone
67,9.92,68.5,Medium,10.13,Scooter,Cloudy,03/01/2025 02:54,Central,East,03/01/2025,02:54:00,2,54,Cross Zone
68,8.04,49.1,Medium,11.13,Scooter,Windy,04/01/2025 08:14,East,East,04/01/2025,08:14:00,8,14,Same Zone
69,6.4,43.2,Medium,9,Bicycle,Cloudy,03/01/2025 02:52,Central,North,03/01/2025,02:52:00,2,52,Cross Zone
90,5.08,35.7,Low,5.73,Bike,Windy,03/01/2025 02:52,South,West,03/01/2025,02:52:00,2,52,Cross Zone
70,2.59,20.3,Medium,3.16,Bike,Windy,04/01/2025 17:53,West,East,04/01/2025,17:53:00,17,53,Cross Zone
71,2.63,14.6,Medium,3.35,Bicycle,Rainy,03/01/2025 10:29,West,North,03/01/2025,10:29:00,10,29,Cross Zone
72,6.83,37.6,High,8.36,Bicycle,Clear,02/01/2025 10:07,West,Central,02/01/2025,10:07:00,10,7,Cross Zone
73,10.12,64.1,Low,11.5,Scooter,Clear,03/01/2025 20:37,West,West,03/01/2025,20:37:00,20,37,Same Zone
74,5.77,44.5,Medium,7.86,Scooter,Rainy,02/01/2025 05:27,West,North,02/01/2025,05:27:00,5,27,Cross Zone
75,4.16,25.5,Low,5.39,Car,Cloudy,03/01/2025 04:01,West,West,03/01/2025,04:01:00,4,1,Same Zone
76,4.34,24.1,High,4.4,Scooter,Cloudy,03/01/2025 01:50,North,West,03/01/2025,01:50:00,1,50,Cross Zone
77,6.77,41.8,High,9.32,Bicycle,Cloudy,03/01/2025 01:49,West,North,03/01/2025,01:49:00,1,49,Cross Zone
78,3.11,15.9,Medium,3.4,Car,Clear,02/01/2025 12:40,Central,East,02/01/2025,12:40:00,12,40,Cross Zone
79,1.77,7.9,Medium,1.89,Scooter,Cloudy,02/01/2025 00:49,Central,North,02/01/2025,00:49:00,0,49,Cross Zone
80,4.12,24,Medium,4.88,Bicycle,Cloudy,03/01/2025 04:36,East,West,03/01/2025,04:36:00,4,36,Cross Zone
81,11.77,82.4,High,12.55,Car,Cloudy,02/01/2025 22:55,Central,East,02/01/2025,22:55:00,22,55,Cross Zone
82,4.13,28.6,Low,4.42,Scooter,Clear,01/01/2025 08:44,Central,West,01/01/2025,08:44:00,8,44,Cross Zone
83,8.35,62.2,Medium,12.42,Bicycle,Windy,04/01/2025 05:30,South,South,04/01/2025,05:30:00,5,30,Same Zone
84,4.68,19.9,Medium,4.87,Car,Clear,02/01/2025 08:08,West,West,02/01/2025,08:08:00,8,8,Same Zone
85,4.24,29.5,Low,4.48,Car,Clear,02/01/2025 02:04,Central,West,02/01/2025,02:04:00,2,4,Cross Zone
86,2.15,12.7,High,2.78,Bicycle,Rainy,02/01/2025 07:04,Central,East,02/01/2025,07:04:00,7,4,Cross Zone
87,0.71,5.2,High,0.88,Scooter,Rainy,03/01/2025 15:10,South,Central,03/01/2025,15:10:00,15,10,Cross Zone
88,0.61,3,Medium,0.74,Bike,Clear,01/01/2025 20:37,Central,West,01/01/2025,20:37:00,20,37,Cross Zone
89,10.32,63.9,High,10.44,Car,Cloudy,04/01/2025 18:19,East,North,04/01/2025,18:19:00,18,19,Cross Zone
91,4.44,40.8,Low,6.12,Bike,Cloudy,02/01/2025 16:09,Central,Central,02/01/2025,16:09:00,16,9,Same Zone
92,5.33,47.4,Low,7.54,Bicycle,Rainy,01/01/2025 17:46,South,West,01/01/2025,17:46:00,17,46,Cross Zone
93,10.07,56.8,Low,12.82,Scooter,Windy,02/01/2025 02:19,South,South,02/01/2025,02:19:00,2,19,Same Zone
94,9.58,73.5,Low,13.07,Bike,Cloudy,04/01/2025 11:56,South,North,04/01/2025,11:56:00,11,56,Cross Zone
95,8.08,51.1,Low,10.96,Bike,Rainy,02/01/2025 20:47,West,East,02/01/2025,20:47:00,20,47,Cross Zone
96,6.66,36.5,Low,8.48,Scooter,Clear,03/01/2025 11:22,Central,North,03/01/2025,11:22:00,11,22,Cross Zone
97,1.47,9.8,Medium,1.88,Scooter,Windy,04/01/2025 04:03,North,West,04/01/2025,04:03:00,4,3,Cross Zone
98,4.41,24.8,Low,4.8,Scooter,Windy,02/01/2025 17:20,North,North,02/01/2025,17:20:00,17,20,Same Zone
99,4.02,21.7,Medium,5.17,Bicycle,Clear,03/01/2025 04:27,South,South,03/01/2025,04:27:00,4,27,Same Zone
100,10.04,90.7,Low,14.91,Scooter,Windy,02/01/2025 11:59,North,East,02/01/2025,11:59:00,11,59,Cross Zone
101,8.25,52,Medium,9,Scooter,Windy,01/01/2025 23:22,Central,South,01/01/2025,23:22:00,23,22,Cross Zone
102,3.22,19.9,High,3.28,Bicycle,Rainy,04/01/2025 14:56,West,East,04/01/2025,14:56:00,14,56,Cross Zone
104,6.86,53.9,Low,8.74,Car,Rainy,01/01/2025 22:34,North,Central,01/01/2025,22:34:00,22,34,Cross Zone
105,2.62,13,Medium,3.22,Car,Clear,04/01/2025 00:53,South,East,04/01/2025,00:53:00,0,53,Cross Zone
106,10.96,72.9,Low,16.27,Bike,Rainy,02/01/2025 23:01,Central,West,02/01/2025,23:01:00,23,1,Cross Zone
107,10.32,81.1,High,13.54,Bicycle,Clear,04/01/2025 00:06,North,Central,04/01/2025,00:06:00,0,6,Cross Zone
108,12,73.6,High,16.48,Bicycle,Windy,03/01/2025 23:57,East,West,03/01/2025,23:57:00,23,57,Cross Zone
109,10.16,57.7,High,14.07,Car,Cloudy,02/01/2025 03:11,South,North,02/01/2025,03:11:00,3,11,Cross Zone
110,7.29,57.9,High,10.86,Car,Rainy,01/01/2025 11:35,Central,North,01/01/2025,11:35:00,11,35,Cross Zone
111,7.97,51,Low,10.73,Bicycle,Rainy,03/01/2025 12:38,East,Central,03/01/2025,12:38:00,12,38,Cross Zone
112,10.53,83.6,Medium,15.46,Scooter,Clear,01/01/2025 08:47,Central,East,01/01/2025,08:47:00,8,47,Cross Zone
113,1.51,7.9,High,1.6,Car,Windy,02/01/2025 15:45,East,East,02/01/2025,15:45:00,15,45,Same Zone
114,10.56,68,Medium,11.2,Bicycle,Rainy,03/01/2025 23:08,South,Central,03/01/2025,23:08:00,23,8,Cross Zone
115,5.35,27.2,Low,6.7,Scooter,Windy,04/01/2025 01:10,East,West,04/01/2025,01:10:00,1,10,Cross Zone
116,9.05,61.3,Medium,9.61,Scooter,Windy,02/01/2025 00:27,East,West,02/01/2025,00:27:00,0,27,Cross Zone
117,3.47,23.9,High,3.87,Bike,Windy,02/01/2025 14:38,South,West,02/01/2025,14:38:00,14,38,Cross Zone
118,6.2,56,Medium,8.79,Scooter,Cloudy,02/01/2025 03:26,East,North,02/01/2025,03:26:00,3,26,Cross Zone
119,9.57,55.7,Low,11.89,Scooter,Clear,03/01/2025 01:31,North,Central,03/01/2025,01:31:00,1,31,Cross Zone
120,3.78,27.8,Medium,4.42,Car,Windy,02/01/2025 16:55,South,East,02/01/2025,16:55:00,16,55,Cross Zone
121,6.32,32.1,Medium,6.78,Bicycle,Rainy,03/01/2025 12:30,East,North,03/01/2025,12:30:00,12,30,Cross Zone
122,10.72,50.3,Low,11.96,Bike,Clear,03/01/2025 12:56,South,East,03/01/2025,12:56:00,12,56,Cross Zone
123,10.55,85.7,High,13.49,Scooter,Rainy,04/01/2025 11:13,West,North,04/01/2025,11:13:00,11,13,Cross Zone
124,9.67,65.8,High,9.95,Scooter,Rainy,04/01/2025 18:00,South,East,04/01/2025,18:00:00,18,0,Cross Zone
125,4.09,33.5,Medium,5.52,Bicycle,Cloudy,03/01/2025 01:02,North,Central,03/01/2025,01:02:00,1,2,Cross Zone
126,8.4,67.2,Low,10.79,Car,Cloudy,04/01/2025 08:33,North,East,04/01/2025,08:33:00,8,33,Cross Zone
127,10.07,51.4,High,11.03,Bicycle,Windy,03/01/2025 14:11,South,West,03/01/2025,14:11:00,14,11,Cross Zone
128,1.47,11.3,Medium,1.86,Car,Clear,04/01/2025 17:37,South,West,04/01/2025,17:37:00,17,37,Cross Zone
129,11.72,70.6,Low,11.77,Scooter,Clear,02/01/2025 10:15,North,North,02/01/2025,10:15:00,10,15,Same Zone
130,3.89,28.7,Medium,5.76,Bike,Windy,03/01/2025 16:13,Central,North,03/01/2025,16:13:00,16,13,Cross Zone
131,11.68,69.2,High,12.36,Scooter,Clear,02/01/2025 21:07,South,North,02/01/2025,21:07:00,21,7,Cross Zone
132,9.77,67.5,High,10.58,Bicycle,Cloudy,04/01/2025 16:02,North,East,04/01/2025,16:02:00,16,2,Cross Zone
133,11.09,57.8,High,12.59,Scooter,Rainy,04/01/2025 15:29,South,South,04/01/2025,15:29:00,15,29,Same Zone
134,10,102.3,Low,14.72,Bicycle,Clear,03/01/2025 04:52,East,East,03/01/2025,04:52:00,4,52,Same Zone
135,0.99,5.4,Medium,1.33,Bicycle,Clear,04/01/2025 06:21,South,South,04/01/2025,06:21:00,6,21,Same Zone
136,8.07,57.2,High,9.34,Scooter,Rainy,02/01/2025 17:19,West,East,02/01/2025,17:19:00,17,19,Cross Zone
137,2.57,21.2,Medium,3.51,Bicycle,Windy,01/01/2025 17:38,North,East,01/01/2025,17:38:00,17,38,Cross Zone
138,10.99,63.9,Medium,13.74,Bicycle,Rainy,01/01/2025 11:24,South,East,01/01/2025,11:24:00,11,24,Cross Zone
139,6.9,47.8,Low,7.2,Bike,Windy,02/01/2025 06:16,West,North,02/01/2025,06:16:00,6,16,Cross Zone
140,10.79,76.7,Low,13.96,Bike,Cloudy,01/01/2025 10:40,Central,West,01/01/2025,10:40:00,10,40,Cross Zone
141,7.06,47.7,Medium,7.66,Bike,Cloudy,02/01/2025 21:42,South,East,02/01/2025,21:42:00,21,42,Cross Zone
142,1.41,9.8,High,1.56,Bicycle,Rainy,01/01/2025 09:02,North,West,01/01/2025,09:02:00,9,2,Cross Zone
143,6.37,39.9,High,9.21,Scooter,Windy,04/01/2025 02:16,West,North,04/01/2025,02:16:00,2,16,Cross Zone
144,7.96,57,High,9.67,Bicycle,Windy,02/01/2025 05:22,West,East,02/01/2025,05:22:00,5,22,Cross Zone
145,3.7,23.2,Low,4.46,Car,Clear,04/01/2025 03:26,East,North,04/01/2025,03:26:00,3,26,Cross Zone
146,5.34,44,Medium,6.56,Car,Cloudy,03/01/2025 01:32,East,South,03/01/2025,01:32:00,1,32,Cross Zone
147,7.31,42.9,Low,9.58,Bike,Cloudy,04/01/2025 07:39,Central,East,04/01/2025,07:39:00,7,39,Cross Zone
148,2.22,18.4,Low,3.13,Bike,Clear,04/01/2025 09:32,West,South,04/01/2025,09:32:00,9,32,Cross Zone
149,9.13,61.4,Low,12.81,Bike,Cloudy,02/01/2025 05:29,North,Central,02/01/2025,05:29:00,5,29,Cross Zone
150,10.13,83.7,Low,14.87,Bicycle,Windy,01/01/2025 10:45,North,North,01/01/2025,10:45:00,10,45,Same Zone
151,3.22,17.7,Medium,3.79,Bicycle,Rainy,03/01/2025 22:16,South,East,03/01/2025,22:16:00,22,16,Cross Zone
152,3.45,15.4,Low,3.6,Car,Rainy,02/01/2025 12:50,West,South,02/01/2025,12:50:00,12,50,Cross Zone
153,3.56,28.9,Medium,4.47,Scooter,Rainy,03/01/2025 18:20,North,East,03/01/2025,18:20:00,18,20,Cross Zone
154,7.86,65.2,High,10.02,Bike,Windy,02/01/2025 11:40,South,South,02/01/2025,11:40:00,11,40,Same Zone
155,4.26,27.8,Low,6.22,Bike,Windy,03/01/2025 15:08,Central,South,03/01/2025,15:08:00,15,8,Cross Zone
156,5.81,37,Medium,6.34,Car,Rainy,02/01/2025 12:27,Central,Central,02/01/2025,12:27:00,12,27,Same Zone
157,11.25,99,Medium,14.73,Bike,Cloudy,04/01/2025 14:21,West,South,04/01/2025,14:21:00,14,21,Cross Zone
158,11.13,70.8,High,11.21,Bicycle,Clear,03/01/2025 15:59,South,Central,03/01/2025,15:59:00,15,59,Cross Zone
159,5.3,48.7,Low,7,Bicycle,Cloudy,04/01/2025 05:16,Central,West,04/01/2025,05:16:00,5,16,Cross Zone
160,9.16,60.7,Low,12.47,Car,Cloudy,02/01/2025 07:51,Central,South,02/01/2025,07:51:00,7,51,Cross Zone
161,10.82,108.8,Medium,15.71,Bicycle,Rainy,03/01/2025 02:20,South,West,03/01/2025,02:20:00,2,20,Cross Zone
162,1.29,9.5,Low,1.51,Car,Clear,01/01/2025 17:39,West,North,01/01/2025,17:39:00,17,39,Cross Zone
163,5.05,39.3,Medium,5.76,Bike,Rainy,04/01/2025 06:32,East,North,04/01/2025,06:32:00,6,32,Cross Zone
164,8.07,61.1,Medium,9.07,Car,Rainy,03/01/2025 13:28,South,North,03/01/2025,13:28:00,13,28,Cross Zone
165,10.41,52,Medium,10.83,Scooter,Windy,02/01/2025 03:05,South,South,02/01/2025,03:05:00,3,5,Same Zone
166,2.19,14.1,Low,2.68,Bike,Rainy,01/01/2025 10:20,Central,North,01/01/2025,10:20:00,10,20,Cross Zone
167,2.87,17.2,Medium,3.72,Car,Cloudy,02/01/2025 02:39,West,South,02/01/2025,02:39:00,2,39,Cross Zone
168,8.14,52.3,High,9.53,Car,Clear,02/01/2025 15:27,Central,South,02/01/2025,15:27:00,15,27,Cross Zone
169,10.35,51.1,High,12.72,Bicycle,Clear,03/01/2025 13:14,South,Central,03/01/2025,13:14:00,13,14,Cross Zone
170,5.85,30.4,Medium,6.48,Bike,Clear,02/01/2025 07:49,South,South,02/01/2025,07:49:00,7,49,Same Zone
171,11.41,89,Low,12.98,Bicycle,Cloudy,02/01/2025 03:01,Central,East,02/01/2025,03:01:00,3,1,Cross Zone
172,11.16,73,High,13.63,Scooter,Cloudy,04/01/2025 11:41,East,South,04/01/2025,11:41:00,11,41,Cross Zone
173,3.17,27.2,Medium,4.09,Bike,Cloudy,04/01/2025 11:45,East,Central,04/01/2025,11:45:00,11,45,Cross Zone
174,4.36,25,Medium,6.19,Car,Rainy,03/01/2025 13:58,East,Central,03/01/2025,13:58:00,13,58,Cross Zone
175,3.88,30.2,Medium,5.15,Bicycle,Cloudy,03/01/2025 10:09,South,North,03/01/2025,10:09:00,10,9,Cross Zone
176,2.88,15.5,High,3.66,Bike,Windy,02/01/2025 07:11,South,South,02/01/2025,07:11:00,7,11,Same Zone
177,9.59,79.4,High,11.98,Scooter,Windy,04/01/2025 12:45,South,West,04/01/2025,12:45:00,12,45,Cross Zone
178,7.51,71.4,Low,10.76,Scooter,Clear,03/01/2025 19:39,East,North,03/01/2025,19:39:00,19,39,Cross Zone
179,11.72,74.9,High,15.17,Scooter,Rainy,03/01/2025 17:11,South,West,03/01/2025,17:11:00,17,11,Cross Zone
180,4.75,24.5,High,5.78,Car,Clear,03/01/2025 05:36,South,East,03/01/2025,05:36:00,5,36,Cross Zone
181,10.38,74.9,High,11.31,Bike,Rainy,03/01/2025 02:46,North,Central,03/01/2025,02:46:00,2,46,Cross Zone
182,8.01,56.3,High,8.56,Bicycle,Rainy,01/01/2025 20:39,East,Central,01/01/2025,20:39:00,20,39,Cross Zone
183,9.68,85.7,Low,13.19,Car,Cloudy,02/01/2025 19:03,West,South,02/01/2025,19:03:00,19,3,Cross Zone
184,7.72,44.1,High,10.3,Car,Clear,02/01/2025 02:31,West,Central,02/01/2025,02:31:00,2,31,Cross Zone
185,8.43,78.9,Low,12.07,Car,Clear,03/01/2025 17:42,West,East,03/01/2025,17:42:00,17,42,Cross Zone
186,8.82,64.5,Medium,11.24,Bicycle,Clear,01/01/2025 19:50,East,Central,01/01/2025,19:50:00,19,50,Cross Zone
187,1.18,7.1,High,1.62,Car,Cloudy,03/01/2025 21:12,West,West,03/01/2025,21:12:00,21,12,Same Zone
188,10.68,75.1,High,14.53,Scooter,Rainy,04/01/2025 16:13,East,South,04/01/2025,16:13:00,16,13,Cross Zone
189,0.96,6.7,High,1.05,Car,Windy,03/01/2025 13:43,Central,East,03/01/2025,13:43:00,13,43,Cross Zone
190,11.73,90.6,Medium,17.29,Car,Cloudy,03/01/2025 08:21,South,South,03/01/2025,08:21:00,8,21,Same Zone
191,11.05,77.5,Low,13.3,Bicycle,Cloudy,04/01/2025 09:50,West,East,04/01/2025,09:50:00,9,50,Cross Zone
192,7.73,53.4,High,9.03,Bicycle,Cloudy,02/01/2025 11:05,Central,East,02/01/2025,11:05:00,11,5,Cross Zone
193,8.31,56,High,8.64,Bike,Rainy,02/01/2025 15:59,North,West,02/01/2025,15:59:00,15,59,Cross Zone
194,11.18,73.4,High,12.35,Scooter,Windy,04/01/2025 01:18,South,East,04/01/2025,01:18:00,1,18,Cross Zone
195,1.28,6,High,1.46,Scooter,Windy,01/01/2025 22:29,South,East,01/01/2025,22:29:00,22,29,Cross Zone
196,9.02,38.4,Low,9.57,Bike,Cloudy,03/01/2025 09:22,Central,South,03/01/2025,09:22:00,9,22,Cross Zone
197,6.73,59.2,Low,10.04,Bike,Cloudy,03/01/2025 03:32,South,South,03/01/2025,03:32:00,3,32,Same Zone
198,6.98,51.4,High,7.83,Scooter,Cloudy,01/01/2025 08:03,Central,West,01/01/2025,08:03:00,8,3,Cross Zone
199,3.8,29.2,Medium,5.34,Bicycle,Rainy,04/01/2025 07:34,South,North,04/01/2025,07:34:00,7,34,Cross Zone
200,6.55,40.8,Medium,7.72,Car,Windy,04/01/2025 15:12,South,North,04/01/2025,15:12:00,15,12,Cross Zone
